"Jahr","Alter","Geschlecht","value"
"1899","44 Jahre","Mann",16567
"1900","44 Jahre","Mann",17065
"1901","44 Jahre","Mann",17574
"1902","44 Jahre","Mann",18107
"1903","44 Jahre","Mann",18423
"1904","44 Jahre","Mann",18856
"1905","44 Jahre","Mann",19204
"1906","44 Jahre","Mann",19638
"1907","44 Jahre","Mann",20135
"1908","44 Jahre","Mann",20387
"1909","44 Jahre","Mann",20580
"1910","44 Jahre","Mann",20870
"1911","44 Jahre","Mann",21089
"1912","44 Jahre","Mann",21285
"1913","44 Jahre","Mann",21675
"1914","44 Jahre","Mann",22035
"1915","44 Jahre","Mann",22948
"1916","44 Jahre","Mann",23508
"1917","44 Jahre","Mann",23240
"1918","44 Jahre","Mann",23361
"1919","44 Jahre","Mann",24196
"1920","44 Jahre","Mann",26110
"1921","44 Jahre","Mann",25429
"1922","44 Jahre","Mann",24570
"1923","44 Jahre","Mann",23943
"1924","44 Jahre","Mann",23111
"1925","44 Jahre","Mann",25630
"1926","44 Jahre","Mann",24785
"1927","44 Jahre","Mann",24375
"1928","44 Jahre","Mann",23931
"1929","44 Jahre","Mann",23226
"1930","44 Jahre","Mann",24391
"1931","44 Jahre","Mann",24436
"1932","44 Jahre","Mann",24305
"1933","44 Jahre","Mann",24107
"1934","44 Jahre","Mann",23147
"1935","44 Jahre","Mann",25077
"1936","44 Jahre","Mann",25822
"1937","44 Jahre","Mann",26240
"1938","44 Jahre","Mann",25825
"1939","44 Jahre","Mann",26267
"1940","44 Jahre","Mann",27035
"1941","44 Jahre","Mann",28918
"1942","44 Jahre","Mann",28929
"1943","44 Jahre","Mann",30085
"1944","44 Jahre","Mann",30058
"1945","44 Jahre","Mann",31436
"1946","44 Jahre","Mann",32242
"1947","44 Jahre","Mann",31761
"1948","44 Jahre","Mann",32634
"1949","44 Jahre","Mann",33308
"1950","44 Jahre","Mann",33976
"1951","44 Jahre","Mann",33974
"1952","44 Jahre","Mann",34920
"1953","44 Jahre","Mann",34235
"1954","44 Jahre","Mann",34834
"1955","44 Jahre","Mann",33279
"1956","44 Jahre","Mann",34453
"1957","44 Jahre","Mann",33788
"1958","44 Jahre","Mann",33705
"1959","44 Jahre","Mann",30494
"1960","44 Jahre","Mann",30199
"1961","44 Jahre","Mann",29136
"1962","44 Jahre","Mann",30053
"1963","44 Jahre","Mann",30825
"1964","44 Jahre","Mann",36925
"1965","44 Jahre","Mann",36554
"1966","44 Jahre","Mann",35875
"1967","44 Jahre","Mann",36495
"1968","44 Jahre","Mann",36199
"1969","44 Jahre","Mann",36739
"1970","44 Jahre","Mann",37368
"1971","44 Jahre","Mann",37227
"1972","44 Jahre","Mann",37601
"1973","44 Jahre","Mann",38203
"1974","44 Jahre","Mann",39701
"1975","44 Jahre","Mann",38898
"1976","44 Jahre","Mann",39278
"1977","44 Jahre","Mann",39240
"1978","44 Jahre","Mann",40106
"1979","44 Jahre","Mann",40603
"1980","44 Jahre","Mann",40406
"1981","44 Jahre","Mann",39977
"1982","44 Jahre","Mann",40910
"1983","44 Jahre","Mann",41553
"1984","44 Jahre","Mann",42101
"1985","44 Jahre","Mann",44612
"1986","44 Jahre","Mann",47538
"1987","44 Jahre","Mann",49077
"1988","44 Jahre","Mann",50645
"1989","44 Jahre","Mann",51311
"1990","44 Jahre","Mann",52353
"1991","44 Jahre","Mann",52068
"1992","44 Jahre","Mann",52154
"1993","44 Jahre","Mann",51220
"1994","44 Jahre","Mann",51696
"1995","44 Jahre","Mann",49440
"1996","44 Jahre","Mann",50717
"1997","44 Jahre","Mann",50220
"1998","44 Jahre","Mann",51436
"1999","44 Jahre","Mann",52739
"2000","44 Jahre","Mann",54521
"2001","44 Jahre","Mann",55662
"2002","44 Jahre","Mann",56663
"2003","44 Jahre","Mann",58008
"2004","44 Jahre","Mann",59441
"2005","44 Jahre","Mann",60562
"2006","44 Jahre","Mann",62714
"2007","44 Jahre","Mann",65400
"2008","44 Jahre","Mann",67961
"2009","44 Jahre","Mann",67171
"2010","44 Jahre","Mann",66958
"2011","44 Jahre","Mann",65177
"2012","44 Jahre","Mann",64985
"2013","44 Jahre","Mann",63837
"2014","44 Jahre","Mann",62904
"2015","44 Jahre","Mann",62315
"2016","44 Jahre","Mann",61121
"2017","44 Jahre","Mann",59200
"2018","44 Jahre","Mann",59386
"2019","44 Jahre","Mann",58203
"2020","44 Jahre","Mann",58724
"2021","44 Jahre","Mann",59945
"2022","44 Jahre","Mann",60691
"1860","45 Jahre","Mann",13885
"1861","45 Jahre","Mann",13904
"1862","45 Jahre","Mann",13937
"1863","45 Jahre","Mann",13987
"1864","45 Jahre","Mann",14169
"1865","45 Jahre","Mann",14368
"1866","45 Jahre","Mann",14587
"1867","45 Jahre","Mann",14827
"1868","45 Jahre","Mann",15090
"1869","45 Jahre","Mann",15204
"1870","45 Jahre","Mann",15322
"1871","45 Jahre","Mann",15385
"1872","45 Jahre","Mann",15467
"1873","45 Jahre","Mann",15568
"1874","45 Jahre","Mann",15499
"1875","45 Jahre","Mann",15452
"1876","45 Jahre","Mann",15427
"1877","45 Jahre","Mann",15427
"1878","45 Jahre","Mann",15452
"1879","45 Jahre","Mann",15617
"1880","45 Jahre","Mann",15807
"1881","45 Jahre","Mann",15921
"1882","45 Jahre","Mann",16013
"1883","45 Jahre","Mann",16129
"1884","45 Jahre","Mann",16095
"1885","45 Jahre","Mann",16135
"1886","45 Jahre","Mann",16197
"1887","45 Jahre","Mann",16071
"1888","45 Jahre","Mann",15867
"1889","45 Jahre","Mann",15768
"1890","45 Jahre","Mann",15654
"1891","45 Jahre","Mann",15547
"1892","45 Jahre","Mann",15540
"1893","45 Jahre","Mann",15451
"1894","45 Jahre","Mann",15462
"1895","45 Jahre","Mann",15452
"1896","45 Jahre","Mann",15487
"1897","45 Jahre","Mann",15493
"1898","45 Jahre","Mann",15545
"1899","45 Jahre","Mann",15961
"1900","45 Jahre","Mann",16388
"1901","45 Jahre","Mann",16871
"1902","45 Jahre","Mann",17348
"1903","45 Jahre","Mann",17870
"1904","45 Jahre","Mann",18200
"1905","45 Jahre","Mann",18609
"1906","45 Jahre","Mann",18990
"1907","45 Jahre","Mann",19430
"1908","45 Jahre","Mann",19877
"1909","45 Jahre","Mann",20126
"1910","45 Jahre","Mann",20375
"1911","45 Jahre","Mann",20555
"1912","45 Jahre","Mann",20775
"1913","45 Jahre","Mann",20990
"1914","45 Jahre","Mann",21361
"1915","45 Jahre","Mann",21726
"1916","45 Jahre","Mann",22664
"1917","45 Jahre","Mann",23163
"1918","45 Jahre","Mann",22804
"1919","45 Jahre","Mann",23008
"1920","45 Jahre","Mann",23807
"1921","45 Jahre","Mann",25858
"1922","45 Jahre","Mann",25175
"1923","45 Jahre","Mann",24322
"1924","45 Jahre","Mann",23657
"1925","45 Jahre","Mann",22830
"1926","45 Jahre","Mann",25428
"1927","45 Jahre","Mann",24535
"1928","45 Jahre","Mann",24130
"1929","45 Jahre","Mann",23658
"1930","45 Jahre","Mann",22966
"1931","45 Jahre","Mann",24092
"1932","45 Jahre","Mann",24229
"1933","45 Jahre","Mann",24143
"1934","45 Jahre","Mann",23916
"1935","45 Jahre","Mann",22953
"1936","45 Jahre","Mann",24781
"1937","45 Jahre","Mann",25716
"1938","45 Jahre","Mann",26148
"1939","45 Jahre","Mann",25689
"1940","45 Jahre","Mann",26128
"1941","45 Jahre","Mann",26774
"1942","45 Jahre","Mann",28635
"1943","45 Jahre","Mann",28571
"1944","45 Jahre","Mann",29945
"1945","45 Jahre","Mann",29945
"1946","45 Jahre","Mann",31414
"1947","45 Jahre","Mann",32195
"1948","45 Jahre","Mann",31719
"1949","45 Jahre","Mann",32609
"1950","45 Jahre","Mann",33212
"1951","45 Jahre","Mann",33861
"1952","45 Jahre","Mann",34012
"1953","45 Jahre","Mann",35038
"1954","45 Jahre","Mann",34452
"1955","45 Jahre","Mann",35141
"1956","45 Jahre","Mann",33696
"1957","45 Jahre","Mann",34949
"1958","45 Jahre","Mann",34260
"1959","45 Jahre","Mann",34137
"1960","45 Jahre","Mann",30777
"1961","45 Jahre","Mann",30332
"1962","45 Jahre","Mann",29243
"1963","45 Jahre","Mann",30111
"1964","45 Jahre","Mann",30824
"1965","45 Jahre","Mann",36814
"1966","45 Jahre","Mann",36527
"1967","45 Jahre","Mann",35967
"1968","45 Jahre","Mann",36533
"1969","45 Jahre","Mann",36226
"1970","45 Jahre","Mann",36760
"1971","45 Jahre","Mann",37123
"1972","45 Jahre","Mann",37040
"1973","45 Jahre","Mann",37361
"1974","45 Jahre","Mann",38074
"1975","45 Jahre","Mann",39167
"1976","45 Jahre","Mann",38417
"1977","45 Jahre","Mann",38884
"1978","45 Jahre","Mann",38996
"1979","45 Jahre","Mann",39962
"1980","45 Jahre","Mann",40431
"1981","45 Jahre","Mann",40285
"1982","45 Jahre","Mann",39853
"1983","45 Jahre","Mann",40667
"1984","45 Jahre","Mann",41396
"1985","45 Jahre","Mann",41990
"1986","45 Jahre","Mann",44497
"1987","45 Jahre","Mann",47493
"1988","45 Jahre","Mann",49071
"1989","45 Jahre","Mann",50581
"1990","45 Jahre","Mann",51260
"1991","45 Jahre","Mann",52250
"1992","45 Jahre","Mann",51829
"1993","45 Jahre","Mann",51986
"1994","45 Jahre","Mann",51091
"1995","45 Jahre","Mann",51531
"1996","45 Jahre","Mann",49119
"1997","45 Jahre","Mann",50435
"1998","45 Jahre","Mann",49939
"1999","45 Jahre","Mann",51291
"2000","45 Jahre","Mann",52591
"2001","45 Jahre","Mann",54723
"2002","45 Jahre","Mann",55721
"2003","45 Jahre","Mann",56731
"2004","45 Jahre","Mann",58058
"2005","45 Jahre","Mann",59516
"2006","45 Jahre","Mann",60621
"2007","45 Jahre","Mann",63234
"2008","45 Jahre","Mann",66051
"2009","45 Jahre","Mann",68381
"2010","45 Jahre","Mann",67773
"2011","45 Jahre","Mann",67289
"2012","45 Jahre","Mann",65593
"2013","45 Jahre","Mann",65459
"2014","45 Jahre","Mann",64332
"2015","45 Jahre","Mann",63279
"2016","45 Jahre","Mann",62556
"2017","45 Jahre","Mann",61245
"2018","45 Jahre","Mann",59277
"2019","45 Jahre","Mann",59588
"2020","45 Jahre","Mann",58496
"2021","45 Jahre","Mann",58894
"2022","45 Jahre","Mann",60365
"1860","46 Jahre","Mann",13619
"1861","46 Jahre","Mann",13628
"1862","46 Jahre","Mann",13651
"1863","46 Jahre","Mann",13689
"1864","46 Jahre","Mann",13744
"1865","46 Jahre","Mann",13928
"1866","46 Jahre","Mann",14130
"1867","46 Jahre","Mann",14352
"1868","46 Jahre","Mann",14595
"1869","46 Jahre","Mann",14862
"1870","46 Jahre","Mann",14974
"1871","46 Jahre","Mann",15024
"1872","46 Jahre","Mann",15091
"1873","46 Jahre","Mann",15178
"1874","46 Jahre","Mann",15285
"1875","46 Jahre","Mann",15225
"1876","46 Jahre","Mann",15187
"1877","46 Jahre","Mann",15173
"1878","46 Jahre","Mann",15183
"1879","46 Jahre","Mann",15219
"1880","46 Jahre","Mann",15390
"1881","46 Jahre","Mann",15490
"1882","46 Jahre","Mann",15597
"1883","46 Jahre","Mann",15707
"1884","46 Jahre","Mann",15796
"1885","46 Jahre","Mann",15793
"1886","46 Jahre","Mann",15828
"1887","46 Jahre","Mann",15960
"1888","46 Jahre","Mann",15786
"1889","46 Jahre","Mann",15695
"1890","46 Jahre","Mann",15549
"1891","46 Jahre","Mann",15468
"1892","46 Jahre","Mann",15352
"1893","46 Jahre","Mann",15306
"1894","46 Jahre","Mann",15234
"1895","46 Jahre","Mann",15235
"1896","46 Jahre","Mann",15235
"1897","46 Jahre","Mann",15303
"1898","46 Jahre","Mann",15310
"1899","46 Jahre","Mann",15326
"1900","46 Jahre","Mann",15737
"1901","46 Jahre","Mann",16149
"1902","46 Jahre","Mann",16668
"1903","46 Jahre","Mann",17124
"1904","46 Jahre","Mann",17661
"1905","46 Jahre","Mann",17969
"1906","46 Jahre","Mann",18368
"1907","46 Jahre","Mann",18730
"1908","46 Jahre","Mann",19169
"1909","46 Jahre","Mann",19638
"1910","46 Jahre","Mann",19891
"1911","46 Jahre","Mann",20046
"1912","46 Jahre","Mann",20259
"1913","46 Jahre","Mann",20494
"1914","46 Jahre","Mann",20678
"1915","46 Jahre","Mann",21049
"1916","46 Jahre","Mann",21414
"1917","46 Jahre","Mann",22316
"1918","46 Jahre","Mann",22713
"1919","46 Jahre","Mann",22448
"1920","46 Jahre","Mann",22646
"1921","46 Jahre","Mann",23514
"1922","46 Jahre","Mann",25622
"1923","46 Jahre","Mann",24890
"1924","46 Jahre","Mann",24026
"1925","46 Jahre","Mann",23365
"1926","46 Jahre","Mann",22528
"1927","46 Jahre","Mann",25193
"1928","46 Jahre","Mann",24282
"1929","46 Jahre","Mann",23837
"1930","46 Jahre","Mann",23392
"1931","46 Jahre","Mann",22767
"1932","46 Jahre","Mann",23891
"1933","46 Jahre","Mann",24133
"1934","46 Jahre","Mann",23982
"1935","46 Jahre","Mann",23722
"1936","46 Jahre","Mann",22766
"1937","46 Jahre","Mann",24460
"1938","46 Jahre","Mann",25589
"1939","46 Jahre","Mann",26025
"1940","46 Jahre","Mann",25568
"1941","46 Jahre","Mann",25961
"1942","46 Jahre","Mann",26874
"1943","46 Jahre","Mann",28341
"1944","46 Jahre","Mann",28222
"1945","46 Jahre","Mann",29795
"1946","46 Jahre","Mann",29817
"1947","46 Jahre","Mann",31302
"1948","46 Jahre","Mann",32095
"1949","46 Jahre","Mann",31686
"1950","46 Jahre","Mann",32495
"1951","46 Jahre","Mann",33084
"1952","46 Jahre","Mann",33746
"1953","46 Jahre","Mann",33862
"1954","46 Jahre","Mann",34900
"1955","46 Jahre","Mann",34334
"1956","46 Jahre","Mann",35003
"1957","46 Jahre","Mann",33591
"1958","46 Jahre","Mann",34780
"1959","46 Jahre","Mann",34120
"1960","46 Jahre","Mann",34071
"1961","46 Jahre","Mann",30822
"1962","46 Jahre","Mann",30395
"1963","46 Jahre","Mann",29258
"1964","46 Jahre","Mann",30040
"1965","46 Jahre","Mann",30730
"1966","46 Jahre","Mann",36776
"1967","46 Jahre","Mann",36552
"1968","46 Jahre","Mann",36025
"1969","46 Jahre","Mann",36545
"1970","46 Jahre","Mann",36284
"1971","46 Jahre","Mann",36548
"1972","46 Jahre","Mann",36935
"1973","46 Jahre","Mann",36843
"1974","46 Jahre","Mann",37173
"1975","46 Jahre","Mann",37566
"1976","46 Jahre","Mann",38616
"1977","46 Jahre","Mann",38063
"1978","46 Jahre","Mann",38636
"1979","46 Jahre","Mann",38799
"1980","46 Jahre","Mann",39848
"1981","46 Jahre","Mann",40289
"1982","46 Jahre","Mann",40153
"1983","46 Jahre","Mann",39683
"1984","46 Jahre","Mann",40428
"1985","46 Jahre","Mann",41230
"1986","46 Jahre","Mann",41931
"1987","46 Jahre","Mann",44392
"1988","46 Jahre","Mann",47480
"1989","46 Jahre","Mann",48985
"1990","46 Jahre","Mann",50530
"1991","46 Jahre","Mann",51087
"1992","46 Jahre","Mann",52004
"1993","46 Jahre","Mann",51664
"1994","46 Jahre","Mann",51704
"1995","46 Jahre","Mann",50879
"1996","46 Jahre","Mann",51257
"1997","46 Jahre","Mann",48880
"1998","46 Jahre","Mann",50281
"1999","46 Jahre","Mann",49798
"2000","46 Jahre","Mann",51123
"2001","46 Jahre","Mann",52589
"2002","46 Jahre","Mann",54757
"2003","46 Jahre","Mann",55730
"2004","46 Jahre","Mann",56683
"2005","46 Jahre","Mann",58089
"2006","46 Jahre","Mann",59601
"2007","46 Jahre","Mann",61115
"2008","46 Jahre","Mann",63860
"2009","46 Jahre","Mann",66445
"2010","46 Jahre","Mann",68756
"2011","46 Jahre","Mann",68102
"2012","46 Jahre","Mann",67638
"2013","46 Jahre","Mann",66226
"2014","46 Jahre","Mann",65942
"2015","46 Jahre","Mann",64690
"2016","46 Jahre","Mann",63479
"2017","46 Jahre","Mann",62637
"2018","46 Jahre","Mann",61358
"2019","46 Jahre","Mann",59455
"2020","46 Jahre","Mann",59874
"2021","46 Jahre","Mann",58696
"2022","46 Jahre","Mann",59297
"1860","47 Jahre","Mann",13359
"1861","47 Jahre","Mann",13358
"1862","47 Jahre","Mann",13371
"1863","47 Jahre","Mann",13398
"1864","47 Jahre","Mann",13442
"1865","47 Jahre","Mann",13502
"1866","47 Jahre","Mann",13688
"1867","47 Jahre","Mann",13892
"1868","47 Jahre","Mann",14117
"1869","47 Jahre","Mann",14363
"1870","47 Jahre","Mann",14633
"1871","47 Jahre","Mann",14671
"1872","47 Jahre","Mann",14725
"1873","47 Jahre","Mann",14797
"1874","47 Jahre","Mann",14889
"1875","47 Jahre","Mann",15002
"1876","47 Jahre","Mann",14951
"1877","47 Jahre","Mann",14923
"1878","47 Jahre","Mann",14918
"1879","47 Jahre","Mann",14939
"1880","47 Jahre","Mann",14985
"1881","47 Jahre","Mann",15063
"1882","47 Jahre","Mann",15180
"1883","47 Jahre","Mann",15312
"1884","47 Jahre","Mann",15401
"1885","47 Jahre","Mann",15458
"1886","47 Jahre","Mann",15460
"1887","47 Jahre","Mann",15538
"1888","47 Jahre","Mann",15705
"1889","47 Jahre","Mann",15561
"1890","47 Jahre","Mann",15490
"1891","47 Jahre","Mann",15370
"1892","47 Jahre","Mann",15296
"1893","47 Jahre","Mann",15140
"1894","47 Jahre","Mann",15092
"1895","47 Jahre","Mann",15005
"1896","47 Jahre","Mann",15016
"1897","47 Jahre","Mann",15022
"1898","47 Jahre","Mann",15067
"1899","47 Jahre","Mann",15074
"1900","47 Jahre","Mann",15113
"1901","47 Jahre","Mann",15516
"1902","47 Jahre","Mann",15935
"1903","47 Jahre","Mann",16405
"1904","47 Jahre","Mann",16868
"1905","47 Jahre","Mann",17411
"1906","47 Jahre","Mann",17757
"1907","47 Jahre","Mann",18139
"1908","47 Jahre","Mann",18500
"1909","47 Jahre","Mann",18939
"1910","47 Jahre","Mann",19419
"1911","47 Jahre","Mann",19619
"1912","47 Jahre","Mann",19750
"1913","47 Jahre","Mann",19941
"1914","47 Jahre","Mann",20181
"1915","47 Jahre","Mann",20360
"1916","47 Jahre","Mann",20733
"1917","47 Jahre","Mann",21088
"1918","47 Jahre","Mann",21890
"1919","47 Jahre","Mann",22362
"1920","47 Jahre","Mann",22067
"1921","47 Jahre","Mann",22317
"1922","47 Jahre","Mann",23182
"1923","47 Jahre","Mann",25348
"1924","47 Jahre","Mann",24597
"1925","47 Jahre","Mann",23741
"1926","47 Jahre","Mann",23060
"1927","47 Jahre","Mann",22224
"1928","47 Jahre","Mann",24922
"1929","47 Jahre","Mann",24003
"1930","47 Jahre","Mann",23546
"1931","47 Jahre","Mann",23175
"1932","47 Jahre","Mann",22551
"1933","47 Jahre","Mann",23423
"1934","47 Jahre","Mann",23982
"1935","47 Jahre","Mann",23795
"1936","47 Jahre","Mann",23529
"1937","47 Jahre","Mann",22583
"1938","47 Jahre","Mann",24130
"1939","47 Jahre","Mann",25440
"1940","47 Jahre","Mann",25870
"1941","47 Jahre","Mann",25427
"1942","47 Jahre","Mann",25868
"1943","47 Jahre","Mann",26946
"1944","47 Jahre","Mann",28014
"1945","47 Jahre","Mann",27864
"1946","47 Jahre","Mann",29668
"1947","47 Jahre","Mann",29751
"1948","47 Jahre","Mann",31183
"1949","47 Jahre","Mann",32025
"1950","47 Jahre","Mann",31534
"1951","47 Jahre","Mann",32351
"1952","47 Jahre","Mann",32918
"1953","47 Jahre","Mann",33564
"1954","47 Jahre","Mann",33727
"1955","47 Jahre","Mann",34741
"1956","47 Jahre","Mann",34156
"1957","47 Jahre","Mann",34822
"1958","47 Jahre","Mann",33409
"1959","47 Jahre","Mann",34618
"1960","47 Jahre","Mann",34008
"1961","47 Jahre","Mann",34065
"1962","47 Jahre","Mann",30806
"1963","47 Jahre","Mann",30381
"1964","47 Jahre","Mann",29218
"1965","47 Jahre","Mann",29930
"1966","47 Jahre","Mann",30695
"1967","47 Jahre","Mann",36779
"1968","47 Jahre","Mann",36549
"1969","47 Jahre","Mann",36021
"1970","47 Jahre","Mann",36640
"1971","47 Jahre","Mann",36025
"1972","47 Jahre","Mann",36366
"1973","47 Jahre","Mann",36641
"1974","47 Jahre","Mann",36683
"1975","47 Jahre","Mann",36690
"1976","47 Jahre","Mann",37126
"1977","47 Jahre","Mann",38203
"1978","47 Jahre","Mann",37850
"1979","47 Jahre","Mann",38395
"1980","47 Jahre","Mann",38618
"1981","47 Jahre","Mann",39636
"1982","47 Jahre","Mann",40176
"1983","47 Jahre","Mann",39911
"1984","47 Jahre","Mann",39512
"1985","47 Jahre","Mann",40187
"1986","47 Jahre","Mann",41094
"1987","47 Jahre","Mann",41791
"1988","47 Jahre","Mann",44273
"1989","47 Jahre","Mann",47333
"1990","47 Jahre","Mann",48869
"1991","47 Jahre","Mann",50245
"1992","47 Jahre","Mann",50871
"1993","47 Jahre","Mann",51811
"1994","47 Jahre","Mann",51450
"1995","47 Jahre","Mann",51516
"1996","47 Jahre","Mann",50553
"1997","47 Jahre","Mann",50867
"1998","47 Jahre","Mann",48618
"1999","47 Jahre","Mann",50122
"2000","47 Jahre","Mann",49617
"2001","47 Jahre","Mann",50999
"2002","47 Jahre","Mann",52654
"2003","47 Jahre","Mann",54840
"2004","47 Jahre","Mann",55636
"2005","47 Jahre","Mann",56625
"2006","47 Jahre","Mann",58154
"2007","47 Jahre","Mann",59887
"2008","47 Jahre","Mann",61593
"2009","47 Jahre","Mann",64091
"2010","47 Jahre","Mann",66710
"2011","47 Jahre","Mann",69014
"2012","47 Jahre","Mann",68331
"2013","47 Jahre","Mann",68097
"2014","47 Jahre","Mann",66723
"2015","47 Jahre","Mann",66236
"2016","47 Jahre","Mann",64860
"2017","47 Jahre","Mann",63576
"2018","47 Jahre","Mann",62729
"2019","47 Jahre","Mann",61430
"2020","47 Jahre","Mann",59621
"2021","47 Jahre","Mann",60044
"2022","47 Jahre","Mann",59059
"1860","48 Jahre","Mann",13099
"1861","48 Jahre","Mann",13093
"1862","48 Jahre","Mann",13097
"1863","48 Jahre","Mann",13114
"1864","48 Jahre","Mann",13146
"1865","48 Jahre","Mann",13194
"1866","48 Jahre","Mann",13259
"1867","48 Jahre","Mann",13447
"1868","48 Jahre","Mann",13654
"1869","48 Jahre","Mann",13882
"1870","48 Jahre","Mann",14131
"1871","48 Jahre","Mann",14327
"1872","48 Jahre","Mann",14368
"1873","48 Jahre","Mann",14427
"1874","48 Jahre","Mann",14503
"1875","48 Jahre","Mann",14600
"1876","48 Jahre","Mann",14719
"1877","48 Jahre","Mann",14677
"1878","48 Jahre","Mann",14658
"1879","48 Jahre","Mann",14664
"1880","48 Jahre","Mann",14694
"1881","48 Jahre","Mann",14663
"1882","48 Jahre","Mann",14753
"1883","48 Jahre","Mann",14853
"1884","48 Jahre","Mann",15013
"1885","48 Jahre","Mann",15067
"1886","48 Jahre","Mann",15125
"1887","48 Jahre","Mann",15138
"1888","48 Jahre","Mann",15252
"1889","48 Jahre","Mann",15440
"1890","48 Jahre","Mann",15303
"1891","48 Jahre","Mann",15275
"1892","48 Jahre","Mann",15158
"1893","48 Jahre","Mann",15088
"1894","48 Jahre","Mann",14943
"1895","48 Jahre","Mann",14857
"1896","48 Jahre","Mann",14789
"1897","48 Jahre","Mann",14811
"1898","48 Jahre","Mann",14803
"1899","48 Jahre","Mann",14804
"1900","48 Jahre","Mann",14844
"1901","48 Jahre","Mann",14880
"1902","48 Jahre","Mann",15283
"1903","48 Jahre","Mann",15696
"1904","48 Jahre","Mann",16166
"1905","48 Jahre","Mann",16623
"1906","48 Jahre","Mann",17152
"1907","48 Jahre","Mann",17523
"1908","48 Jahre","Mann",17861
"1909","48 Jahre","Mann",18264
"1910","48 Jahre","Mann",18693
"1911","48 Jahre","Mann",19097
"1912","48 Jahre","Mann",19322
"1913","48 Jahre","Mann",19419
"1914","48 Jahre","Mann",19596
"1915","48 Jahre","Mann",19856
"1916","48 Jahre","Mann",20055
"1917","48 Jahre","Mann",20391
"1918","48 Jahre","Mann",20665
"1919","48 Jahre","Mann",21567
"1920","48 Jahre","Mann",22010
"1921","48 Jahre","Mann",21778
"1922","48 Jahre","Mann",22016
"1923","48 Jahre","Mann",22843
"1924","48 Jahre","Mann",25077
"1925","48 Jahre","Mann",24282
"1926","48 Jahre","Mann",23450
"1927","48 Jahre","Mann",22735
"1928","48 Jahre","Mann",21903
"1929","48 Jahre","Mann",24643
"1930","48 Jahre","Mann",23724
"1931","48 Jahre","Mann",23269
"1932","48 Jahre","Mann",22937
"1933","48 Jahre","Mann",22395
"1934","48 Jahre","Mann",23087
"1935","48 Jahre","Mann",23796
"1936","48 Jahre","Mann",23596
"1937","48 Jahre","Mann",23337
"1938","48 Jahre","Mann",22372
"1939","48 Jahre","Mann",23797
"1940","48 Jahre","Mann",25318
"1941","48 Jahre","Mann",25723
"1942","48 Jahre","Mann",25269
"1943","48 Jahre","Mann",25789
"1944","48 Jahre","Mann",26998
"1945","48 Jahre","Mann",27674
"1946","48 Jahre","Mann",27745
"1947","48 Jahre","Mann",29526
"1948","48 Jahre","Mann",29627
"1949","48 Jahre","Mann",31066
"1950","48 Jahre","Mann",31889
"1951","48 Jahre","Mann",31353
"1952","48 Jahre","Mann",32163
"1953","48 Jahre","Mann",32702
"1954","48 Jahre","Mann",33399
"1955","48 Jahre","Mann",33566
"1956","48 Jahre","Mann",34517
"1957","48 Jahre","Mann",33966
"1958","48 Jahre","Mann",34601
"1959","48 Jahre","Mann",33236
"1960","48 Jahre","Mann",34535
"1961","48 Jahre","Mann",33956
"1962","48 Jahre","Mann",33991
"1963","48 Jahre","Mann",30747
"1964","48 Jahre","Mann",30301
"1965","48 Jahre","Mann",29087
"1966","48 Jahre","Mann",29857
"1967","48 Jahre","Mann",30687
"1968","48 Jahre","Mann",36723
"1969","48 Jahre","Mann",36476
"1970","48 Jahre","Mann",36140
"1971","48 Jahre","Mann",36356
"1972","48 Jahre","Mann",35821
"1973","48 Jahre","Mann",36060
"1974","48 Jahre","Mann",36444
"1975","48 Jahre","Mann",36193
"1976","48 Jahre","Mann",36243
"1977","48 Jahre","Mann",36761
"1978","48 Jahre","Mann",37918
"1979","48 Jahre","Mann",37592
"1980","48 Jahre","Mann",38263
"1981","48 Jahre","Mann",38484
"1982","48 Jahre","Mann",39484
"1983","48 Jahre","Mann",39913
"1984","48 Jahre","Mann",39739
"1985","48 Jahre","Mann",39345
"1986","48 Jahre","Mann",40038
"1987","48 Jahre","Mann",40897
"1988","48 Jahre","Mann",41688
"1989","48 Jahre","Mann",44083
"1990","48 Jahre","Mann",47220
"1991","48 Jahre","Mann",48705
"1992","48 Jahre","Mann",49944
"1993","48 Jahre","Mann",50627
"1994","48 Jahre","Mann",51534
"1995","48 Jahre","Mann",51193
"1996","48 Jahre","Mann",51150
"1997","48 Jahre","Mann",50153
"1998","48 Jahre","Mann",50563
"1999","48 Jahre","Mann",48470
"2000","48 Jahre","Mann",49945
"2001","48 Jahre","Mann",49604
"2002","48 Jahre","Mann",51114
"2003","48 Jahre","Mann",52579
"2004","48 Jahre","Mann",54828
"2005","48 Jahre","Mann",55609
"2006","48 Jahre","Mann",56611
"2007","48 Jahre","Mann",58322
"2008","48 Jahre","Mann",60283
"2009","48 Jahre","Mann",61853
"2010","48 Jahre","Mann",64411
"2011","48 Jahre","Mann",66946
"2012","48 Jahre","Mann",69329
"2013","48 Jahre","Mann",68681
"2014","48 Jahre","Mann",68447
"2015","48 Jahre","Mann",66933
"2016","48 Jahre","Mann",66348
"2017","48 Jahre","Mann",64991
"2018","48 Jahre","Mann",63566
"2019","48 Jahre","Mann",62831
"2020","48 Jahre","Mann",61593
"2021","48 Jahre","Mann",59812
"2022","48 Jahre","Mann",60324
